#,nombre,rareza
001,Oddish,Common
002,Gloom,Uncommon
003,Vileplume,Rare
004,Mega-Heracross ex,Double Rare
005,Lotad,Common
006,Lombre,Uncommon
007,Ludicolo,Rare
008,Genesect,Rare
009,Nymble,Common
010,Lokix,Rare
011,Charmander,Common
012,Charmeleon,Uncommon
013,Mega-Charizard X ex,Double Rare
014,Moltres,Rare
015,Darumaka,Common
016,Darmanitan,Rare
017,Reshiram,Rare
018,Oricorio ex,Double Rare
019,Charcadet,Common
020,Ceruledge,Rare
021,Seel,Common
022,Dewgong,Uncommon
023,Swinub,Common
024,Piloswine,Uncommon
025,Mamoswine,Rare
026,Suicune,Rare
027,Piplup,Common
028,Prinplup,Uncommon
029,Rotom ex,Double Rare
030,Yamper,Common
031,Boltund,Rare
032,Pawmi,Common
033,Pawmo,Uncommon
034,Pawmot,Rare
035,Misdreavus,Common
036,Mismagius ex,Double Rare
037,Snubbull,Common
038,Granbull,Uncommon
039,Cresselia,Rare
040,Meloetta,Rare
041,Mega-Diancie ex,Double Rare
042,Mimikyu,Rare
043,Milcery,Common
044,Alcremie,Uncommon
045,Zacian,Rare
046,Bramblin,Common
047,Brambleghast,Uncommon
048,Tauros de Paldea,Uncommon
049,Gligar,Common
050,Gliscor,Rare
051,Trapinch,Common
052,Vibrava,Uncommon
053,Flygon,Rare
054,Gastly,Common
055,Haunter,Uncommon
056,Mega-Gengar ex,Double Rare
057,Murkrow,Common
058,Honchkrow,Uncommon
059,Sableye,Rare
060,Carvanha,Common
061,Mega-Sharpedo ex,Double Rare
062,Seviper,Uncommon
063,Absol,Rare
064,Sandile,Common
065,Krokorok,Uncommon
066,Krookodile,Rare
067,Toxel,Common
068,Toxtricity,Rare
069,Eternatus,Rare
070,Empoleon ex,Double Rare
071,Bronzor,Common
072,Bronzong,Uncommon
073,Togedemaru,Common
074,Duraludon,Uncommon
075,Archaludon,Rare
076,Jigglypuff,Common
077,Wigglytuff,Uncommon
078,Aipom,Common
079,Ambipom,Uncommon
080,Smeargle,Rare
081,Zigzagoon,Common
082,Linoone,Uncommon
083,Buneary,Common
084,Mega-Lopunny ex,Double Rare
085,Jaula de Combate,Uncommon
086,Soplete,Uncommon
087,Maya,Uncommon
088,Valle Vertiginoso,Uncommon
089,Comefuego,Uncommon
090,Movimiento de Aza,Uncommon
091,Helado Colosal,Uncommon
092,Casco Punki,Uncommon
093,Amuleto Sagrado,Uncommon
094,Refuerzo Prodigioso,Uncommon
095,Ludicolo,Illustration Rare
096,Nymble,Illustration Rare
097,Dewgong,Illustration Rare
098,Piplup,Illustration Rare
099,Yamper,Illustration Rare
100,Zacian,Illustration Rare
101,Flygon,Illustration Rare
102,Wooper de Paldea,Illustration Rare
103,Toxtricity,Illustration Rare
104,Togedemaru,Illustration Rare
105,Wigglytuff,Illustration Rare
106,Meowth,Illustration Rare
107,Ambipom,Illustration Rare
108,Mega-Heracross ex,Ultra Rare
109,Mega-Charizard X ex,Ultra Rare
110,Oricorio ex,Ultra Rare
111,Rotom ex,Ultra Rare
112,Mismagius ex,Ultra Rare
113,Mega-Sharpedo ex,Ultra Rare
114,Empoleon ex,Ultra Rare
115,Mega-Lopunny ex,Ultra Rare
116,Jaula de Combate,Ultra Rare
117,Soplete,Ultra Rare
118,Maya,Ultra Rare
119,Comefuego,Ultra Rare
120,Movimiento de Aza,Ultra Rare
121,Casco Punki,Ultra Rare
122,Amuleto Sagrado,Ultra Rare
123,Cambio,Ultra Rare
124,Energía Ignición,Ultra Rare
125,Mega-Charizard X ex,Special Illustration Rare
126,Rotom ex,Special Illustration Rare
127,Mega-Sharpedo ex,Special Illustration Rare
128,Mega-Lopunny ex,Special Illustration Rare
129,Maya,Special Illustration Rare
130,Mega-Charizard X ex,Hyper Rare
